run,hla,metric,frac_cog_gt_scr,frac_dec_gt_scr,delta,delta_ci_lo,delta_ci_hi,auroc,auroc_ci_lo,auroc_ci_hi
panel1,A*02:01,iptm_groove,0.897,0.759,0.022,0.0124,0.0334,0.772,0.6873,0.8564
panel1,A*02:01,neg_gpde_groove,0.931,0.828,0.2312,0.109,0.3773,0.8169,0.7441,0.8885
panel1,A*02:01,iptm_b2m_pep,0.931,0.782,0.0412,0.0258,0.0593,0.7904,0.7004,0.879
panel1,A*02:01,pep_plddt,0.897,0.724,0.0482,0.0333,0.0645,0.7161,0.6385,0.8041
panel1,A*02:01,pep_ptm,0.897,0.701,0.0256,0.0186,0.0337,0.7467,0.6691,0.8267
panel1,A*02:01,pep_iptm,0.828,0.448,0.0495,0.0258,0.0729,0.5241,0.4715,0.5815
panel1,A*02:01,ranking_score,0.759,0.333,0.0255,0.0063,0.0449,0.4706,0.426,0.5131
hla_a1101,A*11:01,iptm_groove,1.0,1.0,0.043,0.0323,0.0551,0.9907,0.9691,1.0
hla_a1101,A*11:01,neg_gpde_groove,1.0,1.0,0.516,0.3708,0.6757,0.9954,0.9815,1.0
hla_a1101,A*11:01,iptm_b2m_pep,1.0,1.0,0.0728,0.0574,0.0899,0.9877,0.9583,1.0
hla_a1101,A*11:01,pep_plddt,1.0,0.778,0.0674,0.052,0.0832,0.8843,0.7793,0.9769
hla_a1101,A*11:01,pep_ptm,0.944,0.833,0.0211,0.0118,0.0311,0.8765,0.7978,0.9414
hla_a1101,A*11:01,pep_iptm,0.722,0.611,0.0555,0.0152,0.0996,0.6373,0.5216,0.7546
hla_a1101,A*11:01,ranking_score,0.556,0.611,0.0179,-0.0109,0.0476,0.5386,0.4074,0.6759
